je	20478795
da	10027574
na	9866781
ti	9729797
li	9119717
ra	8881613
ne	8508372
mo	8507384
am	8217810
to	7997803
ni	7288537
st	7029983
ko	6757818
sa	6266835
ta	6139071
re	5993701
te	5789433
po	5778232
va	5777450
ka	5712855
pr	5564123
ij	5534895
ov	5428703
im	5426910
la	5292967
no	5208150
an	5170675
ma	5125603
vo	5015304
ri	4979337
it	4886790
at	4776863
ja	4768088
al	4739550
vi	4731711
za	4648136
bi	4569803
se	4279590
ak	4264032
en	4159055
oj	4097107
is	3961921
št	3942499
mi	3924408
od	3911548
ro	3860787
do	3834910
em	3832355
av	3795199
di	3775227
ad	3605473
os	3512960
ar	3477936
ed	3467091
in	3415468
og	3396235
or	3390818
lj	3330956
il	3314527
on	3294500
aj	3274890
om	3138280
et	3113324
si	3055422
el	3027157
nj	3002570
ve	2976001
me	2855555
ol	2843191
ao	2840715
lo	2797921
er	2732019
ob	2724882
ju	2611413
tr	2596664
go	2584886
aš	2512644
ek	2485577
io	2440015
ga	2399240
le	2362659
že	2339120
es	2309203
de	2296996
as	2295109
će	2208820
sl	2192968
sv	2147231
iš	2127455
zn	2101742
ji	2062437
pa	2016299
ba	1985584
bo	1936708
eš	1920778
su	1916563
iz	1878080
ik	1846384
ci	1807317
br	1769110
ic	1747430
ot	1712459
ru	1709683
tv	1697222
ku	1676414
az	1631331
id	1562539
či	1550446
ok	1537758
iv	1528299
eć	1512350
dj	1485131
eb	1459972
ut	1428238
vr	1423277
nu	1401405
če	1393980
ož	1388160
sp	1373628
dn	1367253
ud	1354286
ih	1301785
gu	1299718
sm	1291133
sk	1247489
gl	1241937
dr	1235141
ći	1233810
du	1228257
pu	1220954
kr	1218902
op	1182219
pi	1176675
lu	1161341
ir	1160095
ca	1151376
ki	1136098
be	1118969
ži	1105865
us	1102714
zi	1076897
tu	1047587
ac	1029528
ša	1019722
jo	1010182
oš	1010057
vj	999741
še	984753
eg	980841
ič	971022
ce	960538
ča	942972
ap	939171
up	935871
ur	931148
ev	921737
ću	912723
oz	906241
ke	891897
ub	868350
uč	866826
až	866007
ač	854442
mu	852970
tk	824009
un	820460
kl	816856
gr	797861
ha	793649
rn	783366
ig	775075
pe	769969
uš	750511
ez	724916
oć	724381
nd	717065
ag	713706
bu	706808
vn	689567
ug	683031
sn	677374
uj	672639
oč	659742
pl	658129
tn	657912
um	653931
nt	646364
vu	643991
ho	642824
zv	626342
ća	619551
rt	608806
vd	603530
sj	602455
eč	590224
hv	586923
so	575461
uk	569636
zg	568368
ze	561914
uć	552244
ab	551990
ec	549487
uz	541102
ši	532860
zb	525366
sr	521008
ža	519680
ul	519140
čn	512103
he	507782
ču	503235
cu	501163
ep	500908
bl	484298
už	470751
zo	461548
dv	457548
mj	449580
au	435889
vl	435164
šl	433779
mr	432772
ge	432681
ns	429700
đe	428108
uv	425841
rv	419209
ić	419107
jn	413678
gd	407135
ej	404210
gi	380887
eo	380350
mn	363004
ah	359534
ać	357936
čk	345753
ln	345565
ip	342674
zu	339710
ođ	336781
šk	327384
kv	325099
đa	323374
ll	322748
žd	319097
ađ	317897
ch	309849
rs	308523
rl	300869
nc	300319
zl	297985
uc	294486
zd	290808
ie	278980
oc	278864
oh	277171
sh	274321
dl	274049
fi	270768
hi	269548
zm	267454
jd	265644
kt	265542
rk	255630
rd	255572
rž	254177
jt	249936
ng	249672
tj	249166
ml	247845
co	245120
uh	243857
js	240190
žn	238125
ck	234011
čo	232611
đi	231962
jk	227896
rš	221177
fo	219893
uo	219235
